Title,Watched,tmdb_id,genre,release
A Pigeon sat on a Branch Reflecting on Existence,2019-08-24,110390,Drama,2014-10-24
Rolling Thunder,2019-08-24,21948,Action,1977-10-14
The Closer We Get,2019-08-29,361075,Documentary,2015-04-29
Hereditary,2019-08-31,493922,Horror,2018-06-07
Lebanon,2019-09-04,32084,War,2009-09-24
The Descendents,2019-09-07,65057,Comedy,2011-09-09
Pride & Prejudice,2019-09-07,4348,Drama,2005-09-16
"Run Wild, Run Free",2019-09-08,100821,Drama,1969-07-23
"Rome, Open City",2019-09-12,307,War,1945-09-27
The Brand New Testament,2019-09-14,330764,Comedy,2015-09-02
BlackKkKlansman,2019-09-14,487558,Crime,2018-07-30
Desk Set,2019-09-18,24203,Comedy,1957-08-02
Big Eyes,2019-09-22,87093,Biopic,2014-12-24
In Memory of My Father,2019-09-23,34057,Comedy,2005-06-03
7 Days in Entebbe,2019-09-24,433627,Crime,2018-03-15
Gangs of New York,2019-09-25,3131,Crime,2002-12-14
Drive Angry,2019-09-28,47327,Action,2011-02-24
The Night of the Shooting Stars,2019-10-03,42130,War,1982-09-16
Antichrist,2019-10-05,17609,Horror,2009-05-18
The Kid with a Bike,2019-10-06,63831,Drama,2011-05-18
Bridge on the River Kwai,2019-10-10,826,War,1957-10-02
The Broken Circle Breakdown,2019-10-12,137182,Drama,2012-10-09
Drag Me To Hell,2019-10-12,16871,Horror,2009-03-15
A Sunday in Hell,2019-10-17,28414,Document ,1977-02-25
This is Spinal Tap,2019-10-20,11031,Comedy,1984-05-04
Red Sparrow,2019-10-26,401981,Thriller,2018-02-28
The Big Red One,2019-10-28,16121,War,1980-05-28
Dragged Across Concrete,2019-11-02,438674,Crime,2019-02-21
The Bridge at Remagen,2019-11-17,15873,War,1969-06-25
Mary Queen of Scots,2019-11-24,457136,History,2018-12-07
The Act of Killing,2019-11-25,123678,Documentary,2012-08-31
Alexander,2019-11-30,1966,History,2004-11-21
Harry Potter and the Deathly Hallows part 2,2019-12-01,12445,Fantasy,2011-07-07
They Were Expendable,2019-12-02,18771,War,1945-12-20
Brick,2019-12-05,9270,Crime,2006-03-31
Miss Sloane,2019-12-07,376290,Drama,2016-11-25
Medium Cool,2019-12-08,42612,Drama,1969-08-27
The Patriot,2019-12-12,2024,War,2000-06-28
Dolemite Is My Name,2019-12-14,528888,Biopic,2019-09-07
The Irishman,2019-12-29,398978,Crime,2019-11-01
"Roman J Israel, Esq",2019-12-30,413362,Drama,2017-11-17
Moneyball,2019-12-31,60308,Sports,2011-09-22
