title,author,
Classic Football Debates Settled Once and for All,"Danny Baker and Danny Kelly",
Seven Deadly Sins,David Walsh,
Top Dog,Po Bronson and Ashley Merryman,
Kursk: The Greatest Battle,Lloyd Clark,
